repetition,host,arch,system,name,nthreads,nb_ops,latency
3,eliza,mte,ART,YCSB-C,1,3000000,1296.07
1,eliza,mte,CLHT,read,16,50000000,349.0
3,eliza,aarch64,skiplist,insert,1,1000000,4689.49
4,eliza,mte,ART,insert,1,1000000,4945.43
1,eliza,mte,linklist,YCSB-F,1,10000,989444.1360005295
3,eliza,mte,btree,insert,1,10000000,1280.74
4,eliza,mte,queue,queue_bench,192,5000000,8053.540
1,eliza,aarch64,CLHT,insert,1,3000000,2920.08
3,eliza,aarch64,CLHT,YCSB-C,192,60000000,73808.35
0,eliza,aarch64,linklist,YCSB-D,1,10000,1146974.3576699998
4,eliza,mte,CLHT,YCSB-C,192,60000000,79160.19
2,eliza,mte,btree,YCSB-D,1,10000000,731.372718128
2,eliza,mte,CLHT,read,1,5000000,307.24
2,eliza,mte,ART,YCSB-C,1,3000000,1293.31
2,eliza,aarch64,CLHT,read,1,5000000,291.25
3,eliza,mte,btree,YCSB-D,1,10000000,749.3728476680001
0,eliza,aarch64,ART,insert,1,1000000,3598.38
0,eliza,mte,CLHT,YCSB-C,192,60000000,78283.08
1,eliza,aarch64,ART,insert,1,1000000,3615.26
0,eliza,mte,btree,YCSB-C,1,10000000,794.75
0,eliza,mte,ART,YCSB-C,1,3000000,1292.86
4,eliza,aarch64,linklist,scan,1,10000,731541.61
4,eliza,mte,CLHT,YCSB-C,1,5000000,238.14
3,eliza,aarch64,btree,scan,1,10000000,944.06
4,eliza,aarch64,ART,insert,1,1000000,3602.5
2,eliza,mte,btree,YCSB-B,1,10000000,832.1570069520001
0,eliza,mte,btree,YCSB-A,1,10000000,926.739272302
2,eliza,mte,ART,scan,1,100000,324394.56
4,eliza,mte,btree,scan,1,10000000,986.48
1,eliza,mte,btree,scan,1,10000000,987.15
2,eliza,mte,linklist,scan,1,10000,1196612.91
0,eliza,mte,linklist,update,1,25000,2565989.46
3,eliza,mte,skiplist,YCSB-E,1,1000000,5639.05870872
3,eliza,mte,skiplist,insert,1,1000000,5973.68
3,eliza,aarch64,linklist,YCSB-C,1,25000,1814747.85
4,eliza,mte,btree,update,1,10000000,1237.05
4,eliza,aarch64,CLHT,insert,1,3000000,2915.16
1,eliza,mte,CLHT,YCSB-C,64,50000000,297.1
4,eliza,mte,skiplist,YCSB-C,1,3000000,3130.51
2,eliza,aarch64,btree,YCSB-E,1,10000000,791.5810836539999
0,eliza,aarch64,linklist,insert,1,1000000,2720.54
1,eliza,aarch64,skiplist,YCSB-C,1,3000000,3125.6
3,eliza,mte,CLHT,insert,192,50000000,81900.53
0,eliza,mte,CLHT,YCSB-C,1,5000000,237.52
3,eliza,mte,linklist,YCSB-A,1,25000,2547056.1338468
1,eliza,mte,CLHT,insert,16,50000000,4739.15
1,eliza,mte,CLHT,YCSB-C,16,50000000,280.84
3,eliza,mte,ART,YCSB-D,1,3000000,1279.4441375600002
1,eliza,aarch64,CLHT,read,16,50000000,341.85
2,eliza,aarch64,linklist,YCSB-F,1,10000,740116.2690374686
4,eliza,mte,linklist,YCSB-E,1,25000,2582752.5788636
3,eliza,mte,btree,YCSB-B,1,10000000,807.41105861
2,eliza,mte,CLHT,read,16,50000000,344.32
4,eliza,aarch64,skiplist,YCSB-D,1,3000000,2941.37398558
0,eliza,aarch64,btree,YCSB-D,1,10000000,677.3853798600001
