repetition,host,arch,system,name,nthreads,nb_ops,latency
0,ace,aarch64,skiplist,YCSB-C,1,5000000,4979.12
0,ace,aarch64,btree,scan,1,8000000,1308.79
4,ace,aarch64,btree,scan,1,8000000,1309.48
3,ace,cheri,linklist,YCSB-E,1,25000,3473163.2763615996
2,ace,aarch64,CLHT,read,4,5000000,251.75
2,ace,cheri,skiplist,read,1,3000000,7815.13
2,ace,cheri,CLHT,YCSB-C,4,1000000,310.85
1,ace,aarch64,linklist,YCSB-A,1,10000,1705339.2869310002
1,ace,cheri,ART,insert,1,1000000,22382.59
2,ace,aarch64,queue,queue_bench,1,100000000,181.107
0,ace,cheri,btree,YCSB-D,1,8000000,1260.4282565475
4,ace,cheri,CLHT,read,4,5000000,342.28
3,ace,aarch64,CLHT,read,4,5000000,254.8
1,ace,cheri,btree,YCSB-E,1,8000000,1407.1713235800003
1,ace,aarch64,skiplist,scan,1,1000000,52981.69
0,ace,cheri,btree,YCSB-F,1,6000000,1250.7519859594515
3,ace,aarch64,skiplist,scan,1,1000000,52909.02
0,ace,cheri,btree,YCSB-A,1,8000000,1557.4538271175
4,ace,aarch64,CLHT,insert,1,1000000,13848.84
0,ace,aarch64,btree,YCSB-B,1,8000000,1153.5552185499996
1,ace,cheri,linklist,update,1,12500,3363915.84
2,ace,cheri,ART,scan,1,60000,382952.34
0,ace,aarch64,CLHT,insert,4,1000000,122935.56
4,ace,aarch64,skiplist,read,1,3000000,5003.69
0,ace,cheri,linklist,update,1,12500,3353054.7
4,ace,aarch64,btree,YCSB-C,1,8000000,1143.14
3,ace,cheri,CLHT,read,4,5000000,341.93
4,ace,aarch64,skiplist,YCSB-E,1,5000000,11697.808350596
1,ace,cheri,linklist,YCSB-A,1,10000,2675108.379129
2,ace,aarch64,ART,YCSB-E,1,400000,37215.16311125
4,ace,cheri,ART,YCSB-D,1,5000000,2930.7491138200003
0,ace,aarch64,linklist,YCSB-D,1,25000,4680412.269416
3,ace,aarch64,btree,read,1,8000000,1298.94
1,ace,cheri,btree,YCSB-B,1,8000000,1330.23316802
2,ace,cheri,skiplist,YCSB-C,1,5000000,7768.11
2,ace,cheri,skiplist,insert,1,1000000,23958.93
2,ace,aarch64,skiplist,insert,1,1000000,18131.34
0,ace,cheri,btree,read,1,8000000,1458.07
3,ace,aarch64,linklist,YCSB-A,1,10000,1687794.744458
3,ace,aarch64,skiplist,YCSB-D,1,2000000,4468.247302649999
2,ace,cheri,ART,insert,1,1000000,22476.03
1,ace,aarch64,btree,YCSB-E,1,8000000,1216.6026502125
0,ace,cheri,linklist,YCSB-C,1,25000,3374428.04
3,ace,cheri,CLHT,read,1,5000000,351.12
1,ace,aarch64,btree,read,1,8000000,1298.68
3,ace,aarch64,ART,read,1,6000000,1826.84
1,ace,aarch64,CLHT,insert,1,1000000,13932.87
4,ace,aarch64,CLHT,YCSB-C,4,1000000,214.09
2,ace,aarch64,ART,YCSB-D,1,5000000,1629.703172772
0,ace,aarch64,btree,update,1,10000000,1488.73
2,ace,aarch64,skiplist,YCSB-E,1,5000000,11769.245838952002
0,ace,aarch64,CLHT,read,1,5000000,253.57
1,ace,cheri,linklist,YCSB-E,1,25000,3458740.7768320004
2,ace,aarch64,ART,insert,1,1000000,7421.79
4,ace,cheri,skiplist,read,1,3000000,7802.25
1,ace,cheri,btree,scan,1,8000000,1493.73
2,ace,cheri,skiplist,scan,1,1000000,60926.9
4,ace,aarch64,ART,YCSB-C,1,6000000,1573.23
4,ace,aarch64,linklist,YCSB-B,1,10000,1318807.2216480002
2,ace,cheri,CLHT,YCSB-C,1,5000000,322.06
0,ace,cheri,linklist,YCSB-D,1,25000,6088905.1449187985
2,ace,aarch64,btree,YCSB-F,1,6000000,961.5211925373086
4,ace,aarch64,linklist,insert,1,5000000,5697.21
0,ace,aarch64,btree,insert,1,6000000,1526.52
0,ace,cheri,btree,YCSB-B,1,8000000,1335.8711307999997
4,ace,aarch64,ART,scan,1,60000,274516.24
0,ace,cheri,CLHT,read,1,5000000,351.37
2,ace,cheri,btree,YCSB-C,1,8000000,1301.53
3,ace,aarch64,linklist,read,1,25000,2598825.52
2,ace,aarch64,btree,YCSB-C,1,8000000,1141.6
0,ace,aarch64,skiplist,insert,1,1000000,18085.93
3,ace,cheri,linklist,YCSB-D,1,25000,6110733.39939
3,ace,aarch64,btree,update,1,10000000,1490.9
0,ace,aarch64,linklist,YCSB-F,1,10000,1692857.3077390038
2,ace,cheri,queue,queue_bench,1,100000000,1737.110
1,ace,aarch64,CLHT,YCSB-C,1,10000000,213.77
3,ace,cheri,btree,read,1,8000000,1463.07
4,ace,cheri,linklist,scan,1,10000,1525058.72
1,ace,aarch64,linklist,YCSB-E,1,25000,2590807.1263715997
0,ace,cheri,skiplist,YCSB-C,1,5000000,7766.97
0,ace,aarch64,skiplist,scan,1,1000000,52961.84
4,ace,cheri,linklist,read,1,25000,3375774.03
4,ace,cheri,skiplist,YCSB-C,1,5000000,7767.75
0,ace,aarch64,btree,YCSB-F,1,6000000,964.3331675415474
1,ace,aarch64,linklist,read,1,25000,2586584.49
3,ace,cheri,linklist,insert,1,5000000,14226.61
1,ace,aarch64,btree,YCSB-C,1,8000000,1142.64
0,ace,cheri,skiplist,scan,1,1000000,60927.26
4,ace,aarch64,queue,queue_bench,4,100000000,433.922
2,ace,aarch64,CLHT,YCSB-C,1,10000000,213.77
4,ace,cheri,skiplist,YCSB-E,1,5000000,15715.7138551
2,ace,aarch64,btree,YCSB-D,1,8000000,1080.9098298125
0,ace,aarch64,linklist,YCSB-C,1,25000,2660498.18
0,ace,aarch64,linklist,YCSB-B,1,10000,1291182.3096639998
0,ace,cheri,ART,YCSB-E,1,400000,56581.2296168
2,ace,cheri,linklist,YCSB-D,1,25000,6098297.9674728
0,ace,cheri,skiplist,YCSB-D,1,2000000,6715.04447184
4,ace,aarch64,btree,YCSB-A,1,8000000,1221.5353813450001
0,ace,cheri,queue,queue_bench,4,100000000,1073.570
3,ace,aarch64,linklist,update,1,12500,2238219.9
3,ace,cheri,skiplist,YCSB-D,1,2000000,6717.03228632
3,ace,cheri,linklist,YCSB-C,1,25000,3436880.49
2,ace,aarch64,ART,scan,1,60000,274646.58
2,ace,cheri,ART,YCSB-D,1,5000000,2936.456238016
1,ace,aarch64,skiplist,YCSB-D,1,2000000,4471.344116159999
1,ace,aarch64,linklist,update,1,12500,2287138.64
2,ace,aarch64,linklist,insert,1,5000000,5687.75
4,ace,aarch64,ART,YCSB-D,1,5000000,1629.6618294400002
1,ace,cheri,queue,queue_bench,4,100000000,1073.790
0,ace,aarch64,CLHT,insert,1,1000000,13918.47
2,ace,cheri,btree,update,1,10000000,1975.32
4,ace,aarch64,linklist,scan,1,10000,1094192.14
0,ace,aarch64,btree,YCSB-A,1,8000000,1221.76235473625
1,ace,cheri,skiplist,read,1,3000000,7808.33
2,ace,aarch64,btree,read,1,8000000,1299.29
4,ace,aarch64,btree,YCSB-F,1,6000000,962.4148279095011
1,ace,aarch64,btree,scan,1,8000000,1309.81
2,ace,aarch64,CLHT,YCSB-C,4,1000000,217.88
2,ace,cheri,ART,read,1,6000000,2149.48
3,ace,aarch64,ART,insert,1,1000000,7437.73
2,ace,aarch64,queue,queue_bench,4,100000000,427.790
0,ace,aarch64,linklist,insert,1,5000000,5697.08
3,ace,cheri,queue,queue_bench,4,100000000,1073.090
1,ace,cheri,btree,YCSB-F,1,6000000,1249.107627625532
1,ace,aarch64,ART,YCSB-D,1,5000000,1632.4933359099998
1,ace,cheri,queue,queue_bench,1,100000000,1736.830
0,ace,cheri,ART,scan,1,60000,377861.79
4,ace,aarch64,skiplist,YCSB-C,1,5000000,4983.05
2,ace,cheri,btree,scan,1,8000000,1493.41
2,ace,aarch64,skiplist,read,1,3000000,4996.68
3,ace,aarch64,ART,YCSB-D,1,5000000,1622.58824403
1,ace,cheri,CLHT,insert,1,1000000,25477.89
3,ace,cheri,ART,YCSB-E,1,400000,56648.726995799996
0,ace,aarch64,linklist,update,1,12500,2272252.76
2,ace,cheri,skiplist,YCSB-D,1,2000000,6696.7382348500005
3,ace,aarch64,linklist,YCSB-C,1,25000,2689866.23
0,ace,cheri,ART,insert,1,1000000,22219.97
3,ace,aarch64,CLHT,insert,4,1000000,122108.63
3,ace,aarch64,CLHT,read,1,5000000,254.2
0,ace,aarch64,skiplist,YCSB-D,1,2000000,4487.38187335
1,ace,cheri,btree,insert,1,6000000,1928.99
4,ace,cheri,CLHT,insert,1,1000000,25409.2
4,ace,aarch64,skiplist,YCSB-D,1,2000000,4480.285674934999
3,ace,aarch64,btree,YCSB-A,1,8000000,1222.51860027
2,ace,cheri,linklist,update,1,12500,3352790.9
0,ace,aarch64,CLHT,YCSB-C,1,10000000,213.38
2,ace,cheri,linklist,insert,1,5000000,14237.75
0,ace,cheri,linklist,read,1,25000,3262134.89
2,ace,cheri,linklist,YCSB-F,1,10000,2706645.536192921
1,ace,aarch64,btree,YCSB-F,1,6000000,962.7151997503454
0,ace,aarch64,ART,YCSB-D,1,5000000,1631.59637272
