database,variant,benchmark,workload,metric_name,metric_value,unit,repetition
ladybug,release-dynamic,ldbc,q23,query_time,21.941333333333333,ms,0
ladybug,release-mte,ldbc,q21,query_time,493.876,ms,0
ladybug,release-mte,ldbc,q20,query_time,515.7246666666666,ms,0
ladybug,release-mte,ldbc,q22,query_time,25.111,ms,0
ladybug,release-mte,ldbc,q19,query_time,251.24333333333334,ms,0
ladybug,release-mte,ldbc,q01,query_time,31.23,ms,0
ladybug,release-mte,ldbc,q02,query_time,24.61,ms,0
ladybug,release-mte,ldbc,SelectiveTwoHopJoin,query_time,43.14066666666667,ms,0
ladybug,release-mte,ldbc,q31,query_time,7.640000000000001,ms,0
ladybug,release-mte,ldbc,q30,query_time,239.12133333333335,ms,0
ladybug,release-mte,ldbc,q29,query_time,122.30566666666668,ms,0
ladybug,release-mte,ldbc,q36,query_time,69.535,ms,0
ladybug,release-mte,ldbc,q35,query_time,3.734666666666667,ms,0
ladybug,release-mte,ldbc,q13,query_time,281.62833333333333,ms,0
ladybug,release-mte,ldbc,q12,query_time,35.333999999999996,ms,0
ladybug,release-mte,ldbc,q11,query_time,41.076,ms,0
ladybug,release-mte,ldbc,q10,query_time,38.38733333333334,ms,0
ladybug,release-mte,ldbc,q09,query_time,160.95266666666666,ms,0
ladybug,release-mte,ldbc,q08,query_time,162.111,ms,0
ladybug,release-mte,ldbc,q07,query_time,119.26433333333334,ms,0
ladybug,release-mte,ldbc,q38,query_time,265.10066666666665,ms,0
ladybug,release-mte,ldbc,q39,query_time,3.4659999999999997,ms,0
ladybug,release-mte,ldbc,q37,query_time,69.119,ms,0
ladybug,release-mte,ldbc,q40,query_time,248.34866666666667,ms,0
ladybug,release-mte,ldbc,recursive-join-path,query_time,27390.782666666666,ms,0
ladybug,release-mte,ldbc,recursive-join-bidirection,query_time,114.57133333333333,ms,0
ladybug,release-mte,ldbc,recursive-join-trail,query_time,5818.304666666667,ms,0
ladybug,release-mte,ldbc,recursive-join-sparse,query_time,2.5473333333333334,ms,0
ladybug,release-mte,ldbc,recursive-join-dense,query_time,5799.951333333333,ms,0
ladybug,release-mte,ldbc,q33,query_time,15.289,ms,0
ladybug,release-mte,ldbc,q32,query_time,2.2146666666666666,ms,0
ladybug,release-mte,ldbc,q34,query_time,1.1983333333333333,ms,0
ladybug,release-mte,ldbc,zonemap-node-null,query_time,16.436666666666667,ms,0
ladybug,release-mte,ldbc,zonemap-node-lhs-cast,query_time,13.013,ms,0
ladybug,release-mte,ldbc,zonemap-node,query_time,10.540999999999999,ms,0
ladybug,release-mte,ldbc,zonemap-rel,query_time,1232.299,ms,0
ladybug,release-mte,ldbc,q18,query_time,382.34700000000004,ms,0
ladybug,release-mte,ldbc,q17,query_time,87.66733333333333,ms,0
ladybug,release-mte,ldbc,q16,query_time,54.44166666666666,ms,0
ladybug,release-mte,ldbc,q15,query_time,13.652000000000001,ms,0
ladybug,release-mte,ldbc,q14,query_time,13.024000000000001,ms,0
ladybug,release-mte,ldbc,push-down-limit-into-distinct,query_time,2.52,ms,0
ladybug,release-mte,ldbc,multi-rel-lookup,query_time,4.572,ms,0
ladybug,release-mte,ldbc,multi-rel-large-scan,query_time,563.3190000000001,ms,0
ladybug,release-mte,ldbc,multi-rel-small-scan,query_time,67.51866666666666,ms,0
ladybug,release-mte,ldbc,q25,query_time,25.492333333333335,ms,0
ladybug,release-mte,ldbc,q26,query_time,94.34499999999998,ms,0
ladybug,release-mte,ldbc,q27,query_time,253.12,ms,0
ladybug,release-mte,ldbc,q03,query_time,375.41933333333327,ms,0
ladybug,release-mte,ldbc,q06,query_time,264.97700000000003,ms,0
ladybug,release-mte,ldbc,q05,query_time,479.31899999999996,ms,0
ladybug,release-mte,ldbc,q04,query_time,424.25766666666664,ms,0
ladybug,release-mte,ldbc,q23,query_time,23.013333333333332,ms,0
ladybug,release-static,ldbc,q21,query_time,515.1403333333334,ms,0
ladybug,release-static,ldbc,q20,query_time,561.9786666666668,ms,0
ladybug,release-static,ldbc,q22,query_time,31.864666666666665,ms,0
ladybug,release-static,ldbc,q19,query_time,316.0493333333333,ms,0
ladybug,release-static,ldbc,q01,query_time,30.274333333333335,ms,0
ladybug,release-static,ldbc,q02,query_time,24.907666666666668,ms,0
ladybug,release-static,ldbc,SelectiveTwoHopJoin,query_time,15.754333333333333,ms,0
ladybug,release-static,ldbc,q31,query_time,2.137,ms,0
ladybug,release-static,ldbc,q30,query_time,474.8736666666667,ms,0
ladybug,release-static,ldbc,q29,query_time,172.14433333333332,ms,0
ladybug,release-static,ldbc,q36,query_time,30.45533333333333,ms,0
ladybug,release-static,ldbc,q35,query_time,1.942,ms,0
ladybug,release-static,ldbc,q13,query_time,310.1623333333334,ms,0
ladybug,release-static,ldbc,q12,query_time,45.842666666666666,ms,0
ladybug,release-static,ldbc,q11,query_time,51.518,ms,0
ladybug,release-static,ldbc,q10,query_time,50.89233333333333,ms,0
ladybug,release-static,ldbc,q09,query_time,217.134,ms,0
ladybug,release-static,ldbc,q08,query_time,219.35466666666665,ms,0
ladybug,release-static,ldbc,q07,query_time,156.63333333333333,ms,0
ladybug,release-static,ldbc,q38,query_time,114.63799999999999,ms,0
ladybug,release-static,ldbc,q39,query_time,0.9739999999999999,ms,0
ladybug,release-static,ldbc,q37,query_time,42.98433333333333,ms,0
ladybug,release-static,ldbc,q40,query_time,101.16266666666667,ms,0
ladybug,release-static,ldbc,recursive-join-path,query_time,26502.369666666666,ms,0
ladybug,release-static,ldbc,recursive-join-bidirection,query_time,92.64,ms,0
ladybug,release-static,ldbc,recursive-join-trail,query_time,4194.579666666667,ms,0
ladybug,release-static,ldbc,recursive-join-sparse,query_time,1.5726666666666667,ms,0
ladybug,release-static,ldbc,recursive-join-dense,query_time,4077.356333333333,ms,0
ladybug,release-static,ldbc,q24,query_time,187.58866666666665,ms,0
ladybug,release-static,ldbc,q28,query_time,3962.421333333333,ms,0
ladybug,release-static,ldbc,q33,query_time,4.790666666666667,ms,0
ladybug,release-static,ldbc,q32,query_time,0.9536666666666666,ms,0
ladybug,release-static,ldbc,q34,query_time,0.3096666666666667,ms,0
ladybug,release-static,ldbc,zonemap-node-null,query_time,8.555666666666667,ms,0
ladybug,release-static,ldbc,zonemap-node-lhs-cast,query_time,8.729333333333335,ms,0
ladybug,release-static,ldbc,zonemap-node,query_time,9.482333333333331,ms,0
ladybug,release-static,ldbc,zonemap-rel,query_time,1325.7653333333333,ms,0
ladybug,release-static,ldbc,q18,query_time,454.5013333333334,ms,0
ladybug,release-static,ldbc,q17,query_time,65.84500000000001,ms,0
ladybug,release-static,ldbc,q16,query_time,73.133,ms,0
ladybug,release-static,ldbc,q15,query_time,17.66933333333333,ms,0
ladybug,release-static,ldbc,q14,query_time,17.581,ms,0
ladybug,release-static,ldbc,push-down-limit-into-distinct,query_time,1.2286666666666666,ms,0
ladybug,release-static,ldbc,multi-rel-lookup,query_time,2.398,ms,0
ladybug,release-static,ldbc,multi-rel-large-scan,query_time,662.1633333333334,ms,0
ladybug,release-static,ldbc,multi-rel-small-scan,query_time,71.488,ms,0
ladybug,release-static,ldbc,q25,query_time,19.286666666666665,ms,0
ladybug,release-static,ldbc,q26,query_time,99.406,ms,0
ladybug,release-static,ldbc,q27,query_time,319.6836666666666,ms,0
ladybug,release-static,ldbc,q03,query_time,509.52399999999994,ms,0
ladybug,release-static,ldbc,q06,query_time,323.58799999999997,ms,0
ladybug,release-static,ldbc,q05,query_time,747.7496666666666,ms,0
ladybug,release-static,ldbc,q04,query_time,514.1606666666667,ms,0
ladybug,release-static,ldbc,q23,query_time,16.156000000000002,ms,0
ladybug,release-cheri,ldbc,q21,query_time,514.3206666666666,ms,0
ladybug,release-cheri,ldbc,q20,query_time,566.1796666666667,ms,0
ladybug,release-cheri,ldbc,q22,query_time,38.31666666666667,ms,0
ladybug,release-cheri,ldbc,q19,query_time,316.0216666666667,ms,0
