len;stride;duration
8388608;8;4394576
8388608;8;4389756
8388608;16;9912654
8388608;16;8081510
8388608;16;8098191
8388608;16;7817233
8388608;16;7920798
8388608;16;7945845
8388608;16;7800832
8388608;16;7936147
8388608;16;7877706
8388608;16;8276457
8388608;32;20896643
8388608;32;16398142
8388608;32;17176736
8388608;32;16146619
8388608;32;15877433
8388608;32;15782374
8388608;32;16075966
8388608;32;16302162
8388608;32;15864599
8388608;32;15840023
8388608;64;19138166
8388608;64;16862996
8388608;64;16796201
8388608;64;16656719
8388608;64;16800008
8388608;64;16841978
8388608;64;16742580
8388608;64;16804036
8388608;64;18416639
8388608;64;16673080
8388608;128;20372447
8388608;128;19217154
8388608;128;19047917
8388608;128;19155308
8388608;128;19537247
8388608;128;19181207
8388608;128;19281686
8388608;128;19387675
8388608;128;19066021
8388608;128;19179273
8388608;256;18351226
8388608;256;17727092
8388608;256;17922710
8388608;256;17961262
8388608;256;17962725
8388608;256;17888044
8388608;256;17898554
8388608;256;17855593
8388608;256;17871324
8388608;256;17999635
8388608;512;48393571
8388608;512;48158158
8388608;512;48230164
8388608;512;48261492
8388608;512;48175020
8388608;512;48261553
8388608;512;48316706
8388608;512;48283985
8388608;512;48300696
8388608;512;48412677
16777216;1;3393903
16777216;1;3334351
16777216;1;3357215
16777216;1;3316417
16777216;1;3308653
16777216;1;3317900
16777216;1;3309204
16777216;1;3314704
16777216;1;3341695
16777216;1;3318641
16777216;2;4888475
16777216;2;4573873
16777216;2;4529439
16777216;2;4563934
16777216;2;4557743
16777216;2;4615581
16777216;2;4531112
16777216;2;4553564
16777216;2;4532074
16777216;2;4566219
16777216;4;8961376
16777216;4;8373810
16777216;4;8221533
16777216;4;8216945
16777216;4;8362769
16777216;4;8426980
16777216;4;8214941
16777216;4;8219510
16777216;4;8287698
16777216;4;8210703
16777216;8;16779690
16777216;8;16455711
16777216;8;15860351
16777216;8;15905125
16777216;8;15871111
16777216;8;15752718
16777216;8;15761886
16777216;8;16027415
16777216;8;15729184
16777216;8;15832920
16777216;16;35088246
16777216;16;31683672
16777216;16;31265987
16777216;16;31804530
16777216;16;32561133
16777216;16;31179053
16777216;16;31412542
