size;seed;steps;sum;nano;
1048576;1337;32;35190308989892;462500
1081344;1337;1;1161489022996826;704000
1081344;1337;2;580790877769200;414000
1081344;1337;4;290555275433346;434200
1081344;1337;8;145563455501649;358200
1081344;1337;16;72877547713670;266100
1081344;1337;32;36300075863863;397300
1114112;1337;1;1196708622488396;846200
1114112;1337;2;598500506467971;796900
1114112;1337;4;299393477071833;520200
1114112;1337;8;150017688916248;494400
1114112;1337;16;75116412533228;608700
1114112;1337;32;37400747270429;371600
1146880;1337;1;1232001884034269;1198900
1146880;1337;2;616240462132516;558800
1146880;1337;4;308277978919683;346900
1146880;1337;8;154449991798300;316000
1146880;1337;16;77323353009814;457500
1146880;1337;32;38499183931823;224800
1179648;1337;1;1267118920443030;829300
1179648;1337;2;633820488575771;429100
1179648;1337;4;317120035254976;547900
1179648;1337;8;158828124458687;503900
1179648;1337;16;79504588922032;318000
1179648;1337;32;39594082250598;468000
1212416;1337;1;1302141546174129;668100
1212416;1337;2;651259837838291;473500
1212416;1337;4;325743163913180;464800
1212416;1337;8;163103928897301;411400
1212416;1337;16;81641551208050;385900
1212416;1337;32;40656119712570;351300
1245184;1337;1;1337142877150052;934300
1245184;1337;2;668690003149921;595200
1245184;1337;4;334499225356531;412800
1245184;1337;8;167512021125417;481500
1245184;1337;16;83843086701525;378600
1245184;1337;32;41762006848546;273400
1277952;1337;1;1372318870505108;658400
1277952;1337;2;686251555224250;650300
1277952;1337;4;343211339157353;520900
1277952;1337;8;171883727747881;317100
1277952;1337;16;86040187067879;499600
1277952;1337;32;42827782564590;269900
1310720;1337;1;1407395736852814;811100
1310720;1337;2;703726170491015;637800
1310720;1337;4;351975059500520;422400
1310720;1337;8;176265225285018;325600
1310720;1337;16;88240647944882;401400
1310720;1337;32;43945270428409;255400
1343488;1337;1;1442482329417369;726300
1343488;1337;2;721251658840900;462700
1343488;1337;4;360730825529795;471400
1343488;1337;8;180625253377129;341200
1343488;1337;16;90411334292747;332300
1343488;1337;32;45048520534446;238500
1376256;1337;1;1477668979131683;785700
1376256;1337;2;738849727761218;631400
1376256;1337;4;369606214150983;452000
1376256;1337;8;185095800800681;501800
1376256;1337;16;92655622095187;586200
1376256;1337;32;46183753750957;343900
1409024;1337;1;1512770361135054;982100
1409024;1337;2;756338427723044;502800
1409024;1337;4;378260899383371;493700
1409024;1337;8;189417582666616;364600
1409024;1337;16;94825384275642;338900
1409024;1337;32;47260251141077;313800
1441792;1337;1;1547748164427463;985700
1441792;1337;2;773811421286238;739900
1441792;1337;4;387017839237731;600800
1441792;1337;8;193795824126505;392000
1441792;1337;16;97028886488120;402900
1441792;1337;32;48355766675037;272800
1474560;1337;1;1582767928142546;804700
1474560;1337;2;791292910904690;581800
1474560;1337;4;395687986291344;458100
1474560;1337;8;198102469542667;951500
1474560;1337;16;99186426104385;390900
1474560;1337;32;49410468171719;414700
1507328;1337;1;1617833035955340;907500
1507328;1337;2;808887317869216;713900
1507328;1337;4;404441089111454;680200
1507328;1337;8;202479282510988;423800
1507328;1337;16;101361495361925;433000
1507328;1337;32;50506867643326;308700
1540096;1337;1;1652993119052319;891200
1540096;1337;2;826425219800674;653900
1540096;1337;4;413191465287316;488000
1540096;1337;8;206882744123113;445100
1540096;1337;16;103579155908474;557300
1540096;1337;32;51620265422951;433800
1572864;1337;1;1688161397712786;797700
1572864;1337;2;843935016351175;652100
1572864;1337;4;421972926941772;759400
1572864;1337;8;211284295401524;393700
1572864;1337;16;105757969832824;396700
1572864;1337;32;52713102926502;264600
1605632;1337;1;1723508033273309;1172700
